1: P: started
746: O 649: started
747: O 650: started
748: O 2935: started
749: O 2938: started
750: O 2942: started
751: O 95: arrived to 1
752: O 654: started
753: O 655: started
754: O 2953: started
755: O 96: arrived to 1
756: O 657: started
757: O 658: started
758: O 2966: started
759: O 660: started
760: O 97: arrived to 1
761: O 661: started
762: O 662: started
763: O 663: started
764: O 12: arrived to 1
765: O 2983: started
766: O 2987: started
767: O 666: started
768: O 667: started
769: O 2996: started
770: O 669: started
771: O 98: arrived to 0
772: O 670: started
773: O 671: started
774: O 672: started
775: O 3026: started
776: O 3034: started
777: O 3039: started
778: O 101: started
779: O 100: arrived to 0
780: O 676: started
781: O 677: started
782: O 678: started
783: O 675: arrived to 0
784: O 679: started
785: O 3071: started
786: O 103: started
787: O 3080: started
788: O 682: started
789: O 683: started
790: O 684: started
791: O 681: arrived to 1
792: O 685: started
793: O 3105: started
794: O 687: started
795: O 688: started
796: O 689: started
797: O 104: arrived to 1
798: O 3120: started
799: O 691: started
800: O 106: started
801: O 3129: started
802: O 693: started
803: O 694: started
804: O 3139: started
805: O 696: started
806: O 692: arrived to 0
807: O 697: started
808: O 3153: started
809: O 3157: started
810: O 107: arrived to 0
811: O 700: started
812: O 701: started
813: O 702: started
814: O 699: arrived to 1
815: O 704: started
816: O 705: started
817: O 77: arrived to 0
818: O 706: started
819: O 707: started
820: O 3193: started
821: O 709: started
822: O 3199: started
823: O 710: started
824: O 711: started
825: O 713: started
826: O 110: arrived to 1
827: O 3218: started
828: O 3222: started
829: O 715: started
830: O 716: started
831: O 111: arrived to 1
832: O 3237: started
833: O 717: started
834: O 113: started
835: O 3251: started
836: O 3255: started
837: O 721: started
838: O 722: started
839: O 723: started
840: O 719: arrived to 1
841: O 3284: started
842: O 725: started
843: O 115: started
844: O 114: arrived to 1
845: O 727: started
846: O 728: started
847: O 3313: started
848: O 3321: started
849: O 730: started
850: O 731: started
851: O 115: arrived to 0
852: O 3328: started
853: O 733: started
854: O 734: started
855: O 3358: started
856: O 732: arrived to 1
857: O 3364: started
858: O 737: started
859: O 738: started
860: O 739: started
861: O 740: started
862: O 118: arrived to 0
863: O 741: started
864: O 742: started
865: O 743: started
866: O 3396: started
867: O 119: arrived to 1
868: O 745: started
869: O 746: started
870: O 747: started
871: O 121: started
872: O 120: arrived to 1
873: O 3418: started
874: O 750: started
875: O 751: started
876: O 752: started
877: O 748: arrived to 1
878: O 753: started
879: O 3438: started
880: O 123: started
881: O 122: arrived to 1
882: O 756: started
883: O 757: started
884: O 3454: started
885: O 759: started
886: O 3463: started
887: O 3467: started
888: O 3471: started
889: O 125: started
890: O 3480: started
891: O 763: started
892: O 764: started
893: O 3494: started
894: O 766: started
895: O 762: arrived to 1
896: O 767: started
897: O 3509: started
898: O 3513: started
899: O 770: started
900: O 126: arrived to 0
901: O 3523: started
902: O 3527: started
903: O 773: started
904: O 127: arrived to 1
905: O 774: started
906: O 775: started
907: O 776: started
908: O 777: started
909: O 128: arrived to 1
910: O 778: started
911: O 3562: started
912: O 780: started
913: O 3569: started
914: O 782: started
915: O 129: arrived to 0
916: O 783: started
917: O 784: started
918: O 3587: started
919: O 3588: started
920: O 130: arrived to 1
921: O 787: started
922: O 788: started
923: O 132: started
924: O 3606: started
925: O 3606: arrived to 0
926: O 791: started
927: O 792: started
928: O 793: started
929: O 794: started
930: O 789: arrived to 0
931: O 795: started
932: O 3660: started
933: O 3665: started
934: O 798: started
935: O 3673: started
936: O 134: started
937: O 133: arrived to 1
938: O 3686: started
939: O 802: started
940: O 803: started
941: O 804: started
942: O 805: started
943: O 806: started
944: O 3725: started
945: O 807: started
946: O 808: started
947: O 809: started
948: O 136: started
949: O 3753: started
950: O 811: started
951: O 812: started
952: O 3765: started
953: O 814: started
954: O 810: arrived to 0
955: O 815: started
956: O 816: started
957: O 3778: started
958: O 817: started
959: O 137: arrived to 0
960: O 818: started
961: O 819: started
962: O 820: started
963: O 138: arrived to 0
964: O 821: started
965: O 822: started
966: O 823: started
967: O 139: arrived to 0
968: O 824: started
969: O 825: started
970: O 826: started
971: O 827: started
972: O 828: started
973: O 3848: started
974: O 829: started
975: O 830: started
976: O 142: started
977: O 141: arrived to 1
978: O 142: arrived to 1
979: O 833: started
980: O 834: started
981: O 835: started
982: O 831: arrived to 1
983: O 836: started
984: O 837: started
985: O 838: started
986: O 839: started
987: O 840: started
988: O 144: started
989: O 143: arrived to 0
990: O 842: started
991: O 843: started
992: O 844: started
993: O 845: started
994: O 846: started
995: O 841: arrived to 0
996: O 847: started
997: O 848: started
998: O 3977: started
999: O 850: started
1000: O 145: arrived to 1
1001: O 851: started
1002: O 852: started
1003: O 853: started
1004: O 146: arrived to 0
1005: O 854: started
1006: O 855: started
1007: O 856: started
1008: O 857: started
1009: O 4013: started
1010: O 858: started
1011: O 859: started
1012: O 860: started
1013: O 3878: started
1014: O 148: arrived to 0
1015: O 862: started
1016: O 150: started
1017: O 149: arrived to 1
1018: O 864: started
1019: O 4052: started
1020: O 866: started
1021: O 863: arrived to 0
1022: O 867: started
1023: O 869: started
1024: O 868: started
1025: O 152: started
1026: O 151: arrived to 1
1027: O 871: started
1028: O 872: started
1029: O 4097: started
1030: O 873: started
1031: O 874: started
1032: O 875: started
1033: O 876: started
1034: O 877: started
1035: O 153: arrived to 0
1036: O 878: started
1037: O 4138: started
1038: O 155: started
1039: O 154: arrived to 0
1040: O 4158: started
1041: O 882: started
1042: O 883: started
1043: O 4178: started
1044: O 880: arrived to 0
1045: O 885: started
1046: O 886: started
1047: O 887: started
1048: O 156: arrived to 1
1049: O 888: started
1050: O 889: started
1051: O 890: started
1052: O 4205: started
1053: O 891: started
1054: O 892: started
1055: O 893: started
1056: O 894: started
1057: O 158: arrived to 1
1058: O 895: started
1059: O 896: started
1060: O 4235: started
1061: O 898: started
1062: O 4241: started
1063: O 899: started
1064: O 900: started
1065: O 161: started
1066: O 160: arrived to 0
1067: O 4262: started
1068: O 903: started
1069: O 904: started
1070: O 901: arrived to 0
1071: O 905: started
1072: O 906: started
1073: O 163: started
1074: O 162: arrived to 1
1075: O 908: started
1076: O 909: started
1077: O 910: started
1078: O 4306: started
1079: O 911: started
1080: O 912: started
1081: O 913: started
1082: O 164: arrived to 1
1083: O 914: started
1084: O 915: started
1085: O 916: started
1086: O 4348: started
1087: O 165: arrived to 0
1088: O 918: started
1089: O 919: started
1090: O 920: started
1091: O 921: started
1092: O 166: arrived to 1
1093: O 4378: started
1094: O 923: started
1095: O 924: started
1096: O 925: started
1097: O 4394: started
1098: O 926: started
1099: O 927: started
1100: O 168: arrived to 0
1101: O 929: started
1102: O 928: started
1103: O 930: started
1104: O 931: started
1105: O 932: started
1106: O 169: arrived to 0
1107: O 933: started
1108: O 934: started
1109: O 935: started
1110: O 936: started
1111: O 170: arrived to 1
1112: O 937: started
1113: O 4438: started
1114: O 171: arrived to 1
1115: O 4442: started
1116: O 939: started
1117: O 4451: started
1118: O 4456: started
1119: O 172: arrived to 0
1120: O 943: started
1121: O 944: started
1122: O 945: started
1123: O 946: started
1124: O 4515: started
1125: O 4514: started
1126: O 948: started
1127: O 175: started
1128: O 4537: started
1129: O 950: started
1130: O 951: started
1131: O 949: arrived to 1
1132: O 951: arrived to 0
1133: O 953: started
1134: O 4576: started
1135: O 955: started
1136: O 956: started
1137: O 176: arrived to 1
1138: O 957: started
1139: O 958: started
1140: O 959: started
1141: O 177: arrived to 0
1142: O 960: started
1143: O 4611: started
1144: O 962: started
1145: O 178: arrived to 1
1146: O 963: started
1147: O 4621: started
1148: O 965: started
1149: O 966: started
1150: O 4632: started
1151: O 179: arrived to 0
1152: O 968: started
1153: O 4639: started
1154: O 4642: started
1155: O 4647: started
1156: O 4554: started
1157: O 972: started
1158: O 973: started
1159: O 4665: started
1160: O 975: started
1161: O 181: arrived to 0
1162: O 4677: started
1163: O 977: started
1164: O 978: started
1165: O 4693: started
1166: O 182: arrived to 0
1167: O 980: started
1168: O 981: started
1169: O 982: started
1170: O 183: arrived to 1
1171: O 983: started
1172: O 4720: started
1173: O 4726: started
1174: O 986: started
1175: O 4720: arrived to 0
1176: O 987: started
1177: O 988: started
1178: O 989: started
1179: O 4754: started
1180: O 991: started
1181: O 4759: started
1182: O 992: started
1183: O 993: started
1184: O 4771: started
1185: O 186: arrived to 1
1186: O 995: started
1187: O 996: started
1188: O 997: started
1189: O 4783: started
1190: O 187: arrived to 1
1191: O 4784: started
1192: O 1000: started
1193: O 1001: started
1194: O 1002: started
1195: O 4804: started
1196: O 4733: started
1197: O 1004: started
1198: O 1005: started
1199: O 1006: started
1200: O 189: arrived to 1
1201: O 1007: started
1202: O 1008: started
1203: O 1009: started
1204: O 1010: started
1205: O 5019: started
1206: O 1012: started
1207: O 1013: started
1208: O 190: arrived to 1
1209: O 191: arrived to 0
1210: O 1014: started
1211: O 1015: started
1212: O 5043: started
1213: O 1017: started
1214: O 1018: started
1215: O 193: started
1216: O 192: arrived to 1
1217: O 1020: started
1218: O 1021: started
1219: O 1022: started
1220: O 1023: started
1221: O 1019: arrived to 1
1222: O 5070: started
1223: O 1025: started
1224: O 1026: started
1225: O 1027: started
1226: O 5089: started
1227: O 5093: started
1228: O 1029: started
1229: O 5101: started
1230: O 1031: started
1231: O 1032: started
1232: O 1033: started
1233: O 1034: started
1234: O 5121: started
1235: O 5128: started
1236: O 1037: started
1237: O 1038: started
1238: O 5143: started
1239: O 1038: arrived to 1
1240: O 1040: started
1241: O 5144: started
1242: O 1042: started
1243: O 196: arrived to 1
1244: O 1042: arrived to 1
1245: O 1044: started
1246: O 1045: started
1247: O 1046: started
1248: O 197: arrived to 1
1249: O 1047: started
1250: O 1048: started
1251: O 5223: started
1252: O 1050: started
1253: O 5235: started
1254: O 5162: started
1255: O 1052: started
1256: O 1053: started
1257: O 5247: started
1258: O 199: arrived to 1
1259: O 1055: started
1260: O 1056: started
1261: O 201: started
1262: O 200: arrived to 1
1263: O 1058: started
1264: O 1059: started
1265: O 1060: started
1266: O 5270: started
1267: O 1057: arrived to 0
1268: O 1062: started
1269: O 203: started
1270: O 202: arrived to 0
1271: O 5287: started
1272: O 1065: started
1273: O 1066: started
1274: O 1067: started
1275: O 1063: arrived to 1
1276: O 1068: started
1277: O 1069: started
1278: O 1070: started
1279: O 204: arrived to 1
1280: O 1071: started
1281: O 5322: started
1282: O 1073: started
